AIMS1STMF,,,,,GRAMEEN1,,,,,GRAMEENS2,,,,,RELIANCE1,,,
Year,NAV Size,EPU,NAVPU @ Mkt, ,Year,NAV Size,EPU,NAVPU @ Mkt, ,Year,NAV Size,EPU,NAVPU @ Mkt, ,Year,NAV Size,EPU,NAVPU @ Mkt
২০০১,৬৯৫৭৬০৫৫,১.০১,৯.৯০, ,২০০৬,১৭০০১০২৯৮,০.০০,১০, ,২০০৯,১৫৮৭১৩৬৮৪১,১.২০,১২.৭০, ,২০১২,৫৬৯৪৫৫০২৭,১.২৯,১০.৩৫
২০০২,৬৭৪১৮৯২৭,-০.২২,৯.৬০, ,২০০৭,৩৬১৫৩৯২২৯,৩.৫২,২১.২৭, ,২০১০,২৩৮৭৮৬৫৮০৪,২.০১,১৯.১০, ,২০১৩,৬৫৪২৪৬৮৬৫,১.০৫,১১.৯০
২০০৩,৭৫০৮৯৪৮২,০.৯৮,১০.৭০, ,২০০৮,৫০১৩০৬৯৬০,৪.৯৬,২৯.৪৯, ,২০১১,২৩৮১৩২০৯০৪,২.৩৯,১৯.০৫, ,২০১৪,৭৬০৯২০৫১৪,১.৩৮,১২.৫৮
২০০৪,৮৭১৬২৩৯৪,২.৪৫,১১, ,২০০৯,৫৮৯০৫৪১০৫,৩.৪৫,৩৪.৬৫, ,২০১২,২০৮৮৭৯৩৬৩৭,১.০৪,১৫.১৯, ,২০১৫,৭৬৭৩৪৪৭৩৭,১.১০,১২.৬৮
২০০৫,৯১০৩৭৯৯৮,৩.০১,১১.২০, ,২০১০,৯২৬২২৫৪১৯,৮.৫৭,৫৪.৪৮, ,২০১৩,২৩০৩২২৪৫৯২,১.৫৬,১৬.৭৫, ,২০১৬,৭২৯৫৬৫৯৫৬,০.৬৯,১২.০৬
২০০৬,১৪২৯৭৭৫৯৫,০.৫১,১০.২০, ,২০১১,৮৮৯৮২২৪৯৩,৯.৩৯,৫১.৩৯, ,২০১৪,২৬৬৩০০১৩৮৯,১.৫৪,১৯.৩৭, ,২০১৭,৮৫১২০৫৮৮৪,০.৯২,১৪.০৭
২০০৭,৩১৫৩৯২৭১৫,৩.৭৩,২২.৫০, ,২০১২,৭২৫১৫৩৯৭০,২.০৫,২৮.৪৪, ,২০১৫,৩০৮৭৩৪০১৫০,১.১৭,১৯.৫২, ,২০১৮,৮৩৫৩২৩০৭৬,১.১৭,১৩.৮১
২০০৮,৪৫৪১৭৯৫০৩,৫.০১,২৭.০৩, ,২০১৩,৭৮৪৮৫৬১২১,২.২৯,৩০.৭৮, ,২০১৬,২৯৬১০৬১০২৫,১.০৩,১৭.৪০, ,২০১৯,৮২৩৫০৪৬১০,০.৮৯,১৩.৬১
২০০৯,৫৪৬৮৩৯৮৫৮,৩.২৯,৩২.৫০, ,২০১৪,৮৯০১৬৬৪৪১,৩.৪১,৩৪.৯১, ,২০১৭,৩৫২৬৮৮৮৬৩৫,১.১৩,১৯.৭১, ,২০২০,৬৪৭৪৬৭৩৮৬,-০.০৪,১০.৭০
২০১০,৯৭৭৮৭৮৬২৫,৮.০৬,৫৮.২০, ,২০১৫,১০৫৮৫২৮৭৪০,১.৭৪,৩১.৯৩, ,২০১৮,৩৫২৬৬২৯৬৩১,১.৩১,১৯.৩৩, ,২০২১,৮৯২৯৯৫৭৩৬,১.০৬,১৪.৭৬
২০১১,১৯২১১৮১৪৭৪,৪.০৬,৪৬.৩৫, ,২০১৬,১০৪১৫১৫৩৩৩,১০.৩৮,২৪.৬৬, ,২০১৯,৩৫৯৭৪৪৯৯৮২,১.১২,১৯.৭২, , , , , 
২০১২,১৭২০৩১৩৯৭১,২.২৭,৪১.৫০, , , , , , ,২০২০,২৮১৯৪৫৮১০৩,০.৭৪,১৫.৪৬, , , , , 
২০১৩,১৯৮০৮৩৪৫৩৬,৩.০২,৪৭.৭৯, , , , , , ,২০২১,৩৭৯৭১৫১০৭৯,১.২১,২০.৮২, , , , , 
২০১৪,২১১১৪৩৪০১৯,৪.৭১,৫০.৯৪, , , , , , , , , , , , , , , 
২০১৫,২৪২৪৩২০৪১৮,২.২৪,৩৮.৯৯, , , , , , , , , , , , , , , 
২০১৬,২৩৭১৩৩৪১৮০,৬.৮৩,২৬.০১, , , , , , , , , , , , , , , 
